# Digitized from Fig. 2(a), Smith et al., Phys. Rev. Lett. 135, 086702 (2025), arXiv:2501.08327v5.
# Visual-comparison data only; no experimental uncertainties were inferred from the raster image.
# Source Figure2.png SHA256: cc2f9ea660b8c26320557734d337c7513be6073be95143750412e0d6c87646a9.
# Calibration from plotted ticks: x=389.5 -> 0.1 K, x=726.5 -> 1 K; y=699.5 -> 0, 138.0 px per 0.5 J mol_Ce^-1 K^-1.
series,temperature_K,Cmag_J_molCe_K
published_NLC_B,0.94035918,0.376811594
published_NLC_B,0.95655989,0.371376812
published_NLC_B,0.996589531,0.344202899
published_NLC_B,1.02070931,0.335144928
published_NLC_B,1.03829431,0.335144928
published_NLC_B,1.07805508,0.30615942
published_NLC_B,1.10792506,0.297101449
published_NLC_B,1.13862266,0.286231884
published_NLC_B,1.1701708,0.275362319
published_NLC_B,1.20259306,0.263586957
published_NLC_B,1.23591365,0.253623188
published_NLC_B,1.26150858,0.248188406
published_NLC_B,1.31879728,0.224637681
published_NLC_B,1.3415178,0.223731884
published_NLC_B,1.37398565,0.217391304
published_NLC_B,1.45614542,0.195652174
published_NLC_B,1.49649126,0.1875
published_NLC_B,1.53795497,0.179347826
published_NLC_B,1.58056753,0.171195652
published_NLC_B,1.62436077,0.163949275
published_NLC_B,1.6693674,0.156702899
published_NLC_B,1.71562105,0.151268116
published_NLC_B,1.82443164,0.133152174
published_NLC_B,1.86221437,0.130434783
published_NLC_B,1.90077955,0.127717391
published_NLC_B,2.02133354,0.112318841
published_NLC_B,2.07733921,0.107789855
published_NLC_B,2.13489664,0.101449275
published_NLC_B,2.19404884,0.097826087
published_NLC_B,2.25483998,0.0942028986
published_NLC_B,2.31731548,0.0887681159
published_NLC_B,2.38152201,0.0833333333
published_NLC_B,2.43084169,0.0833333333
published_NLC_B,2.58501405,0.0724637681
published_NLC_B,2.65663778,0.0688405797
published_NLC_B,2.7024069,0.0706521739
published_NLC_B,2.8347989,0.0579710145
published_NLC_B,2.88363742,0.0597826087
published_NLC_B,2.96353519,0.0561594203
published_NLC_B,3.04564672,0.0543478261
published_NLC_B,3.13003332,0.0507246377
published_NLC_B,3.21675806,0.0471014493
published_NLC_B,3.3058857,0.0461956522
published_NLC_B,3.39748283,0.0434782609
published_NLC_B,3.46784236,0.0434782609
published_NLC_B,3.70040499,0.0362318841
published_NLC_B,3.78996339,0.035326087
published_NLC_B,3.85525769,0.0362318841
published_NLC_B,4.11380142,0.0289855072
published_NLC_B,4.2277837,0.0289855072
published_NLC_B,4.34492412,0.0253623188
published_NLC_B,4.46531018,0.0253623188
published_NLC_B,4.58903181,0.0235507246
published_NLC_B,4.71618144,0.0217391304
published_NLC_B,4.84685403,0.0217391304
published_NLC_B,4.93035667,0.0217391304
published_NLC_B,5.29706873,0.0172101449
published_NLC_B,5.40676739,0.0163043478
published_NLC_B,5.51873782,0.0163043478
published_NLC_B,5.8888389,0.0163043478
published_NLC_B,6.07271346,0.0144927536
published_NLC_B,6.19847518,0.0144927536
published_NLC_B,6.37021811,0.0144927536
published_NLC_B,6.54671958,0.0144927536
published_NLC_B,6.72811142,0.0144927536
published_NLC_B,6.86744599,0.0144927536
published_NLC_B,7.1304301,0.0126811594
published_NLC_B,7.58266655,0.0126811594
published_NLC_B,7.71330236,0.0126811594
published_NLC_B,7.84618879,0.0126811594
