temperature_over_Jzz,heat_capacity_per_site,entropy_per_site,delta_log10_temperature,delta_heat_capacity_per_site,delta_entropy_per_site
5.086597507,0.004869944498,0.6814601999,0.002,0.0015,0.002
5.136703158,0.005657006336,0.6814601999,0.002,0.0015,0.002
5.174357389,0.006124324146,0.6814601999,0.002,0.0015,0.002
5.213289559,0.006124324146,0.6814601999,0.002,0.0015,0.002
5.251505202,0.005976750051,0.6814601999,0.002,0.0015,0.002
5.290001007,0.005497134322,0.6814601999,0.002,0.0015,0.002
5.329803287,0.005497134322,0.6818712546,0.002,0.0015,0.002
5.368873024,0.005029816512,0.6818712546,0.002,0.0015,0.002
5.40822916,0.005029816512,0.6818712546,0.002,0.0015,0.002
5.448920995,0.005657006336,0.6818712546,0.002,0.0015,0.002
5.488863944,0.005497134322,0.6818712546,0.002,0.0015,0.002
5.529099664,0.005029816512,0.6818712546,0.002,0.0015,0.002
5.611536557,0.006444067861,0.6818712546,0.002,0.0015,0.002
5.653758088,0.004562498388,0.6818712546,0.002,0.0015,0.002
5.695202581,0.00313594912,0.6818712546,0.002,0.0015,0.002
5.736950852,0.005029816512,0.6818712546,0.002,0.0015,0.002
5.765691648,0.005189688212,0.6818712546,0.002,0.0015,0.002
5.807956662,0.004562498388,0.6823165642,0.002,0.0015,0.002
5.851656071,0.005497134322,0.6823165642,0.002,0.0015,0.002
5.894551212,0.003295821135,0.6823165642,0.002,0.0015,0.002
5.937760794,0.005029816512,0.6823165642,0.002,0.0015,0.002
5.96750763,0.005976750051,0.6823165642,0.002,0.0015,0.002
6.011252013,0.004562498388,0.6823165642,0.002,0.0015,0.002
6.056481028,0.004082882659,0.6823165642,0.002,0.0015,0.002
6.085652828,0.002828503011,0.6823165642,0.002,0.0015,0.002
6.130263266,0.005029816512,0.6823165642,0.002,0.0015,0.002
6.176387729,0.006124324146,0.6823165642,0.002,0.0015,0.002
6.206137074,0.004402626688,0.6823165642,0.002,0.0015,0.002
6.252832416,0.003923010959,0.6823165642,0.002,0.0015,0.002
6.298668352,0.004562498388,0.6823165642,0.002,0.0015,0.002
6.330223253,0.002988375026,0.6823165642,0.002,0.0015,0.002
6.376626497,0.003455692835,0.6823165642,0.002,0.0015,0.002
6.408571919,0.005657006336,0.6827618729,0.002,0.0015,0.002
6.455549524,0.003455692835,0.6827618729,0.002,0.0015,0.002
6.487890332,0.002988375026,0.6827618729,0.002,0.0015,0.002
6.535449343,0.005337262307,0.6827618729,0.002,0.0015,0.002
6.566928155,0.003455692835,0.6827618729,0.002,0.0015,0.002
6.616338109,0.002041441487,0.6827618729,0.002,0.0015,0.002
6.648206531,0.004242754674,0.6827618729,0.002,0.0015,0.002
6.698228029,0.005029816512,0.6827618729,0.002,0.0015,0.002
6.730490851,0.002828503011,0.6827618729,0.002,0.0015,0.002
6.813793631,0.00361556485,0.6827618729,0.002,0.0015,0.002
6.847929159,0.0001598720146,0.6827618729,0.002,0.0015,0.002
6.880913068,0.004402626688,0.6827618729,0.002,0.0015,0.002
6.898127443,0.007858319523,0.6827618729,0.002,0.0015,0.002
6.932685464,0.00361556485,0.6827618729,0.002,0.0015,0.002
7.018490791,0.001414251663,0.6827618729,0.002,0.0015,0.002
7.052296197,0.00313594912,0.6827618729,0.002,0.0015,0.002
7.06993933,0.006124324146,0.6827618729,0.002,0.0015,0.002
7.087626603,0.003775436864,0.6827618729,0.002,0.0015,0.002
7.139581937,0.002828503011,0.6827618729,0.002,0.0015,0.002
7.17534959,0.004242754674,0.6827618729,0.002,0.0015,0.002
7.280931957,0.00361556485,0.6832071824,0.002,0.0015,0.002
7.371047505,0.002988375026,0.6832071824,0.002,0.0015,0.002
7.480947179,0.002508759296,0.6832071824,0.002,0.0015,0.002
7.667275378,0.002828503011,0.6832071824,0.002,0.0015,0.002
7.781591741,0.002668631311,0.6832071824,0.002,0.0015,0.002
7.877903879,0.00313594912,0.6832071824,0.002,0.0015,0.002
7.973875348,0.002988375026,0.6832071824,0.002,0.0015,0.002
